"35","Mage Knight Board Game","","2011","7.851","4.37","1,2","Vlaada Chvátil","https://boardgamegeek.com/boardgame/96848/mage-knight-board-game"
"36","Barrage","バラージ","2019","7.849","4.11","4","Tommaso Battista,Simone Luciani","https://boardgamegeek.com/boardgame/251247/barrage"
"37","The Crew: Mission Deep Sea","ザ・クルー　深海に眠る遺跡","2021","7.837","2.03","4","Thomas Sing","https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea"
"38","Everdell","エバーデール","2018","7.836","2.82","3","James A. Wilson","https://boardgamegeek.com/boardgame/199792/everdell"
"39","Viticulture Essential Edition","ワイナリーの四季","2015","7.831","2.89","3,4","Jamey Stegmaier,Alan Stone","https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition"
"40","Heat: Pedal to the Metal","ヒート","2022","7.798","2.19","5,6","Asger Harding Granerud,Daniel Skjold Pedersen","https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal"
"41","Marvel Champions: The Card Game","","2019","7.795","2.94","1,2","Michael Boggs","https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game"
"42","Food Chain Magnate","フードチェーンマグネイト","2015","7.793","4.2","3,4","Jeroen Doumen,Joris Wiersinga","https://boardgamegeek.com/boardgame/175914/food-chain-magnate"
"43","Pax Pamir: Second Edition","パックス・パミール　第２版","2019","7.787","3.85","4","Cole Wehrle","https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition"
"44","Underwater Cities","アンダーウォーターシティーズ","2018","7.78","3.58","2","Vladimír Suchý","https://boardgamegeek.com/boardgame/247763/underwater-cities"
"45","Kanban EV","カンバンEV","2020","7.777","4.3","3","Vital Lacerda","https://boardgamegeek.com/boardgame/284378/kanban-ev"
"46","Crokinole","クロキノール","1876","7.775","1.23","2,4","(Uncredited)","https://boardgamegeek.com/boardgame/521/crokinole"
"47","Sky Team","スカイチーム","2023","7.77","2.05","2","Luc Rémond","https://boardgamegeek.com/boardgame/373106/sky-team"
"48","Puerto Rico","","2002","7.77","3.27","4","Andreas Seyfarth","https://boardgamegeek.com/boardgame/3076/puerto-rico"
"49","Cascadia","カスカディア","2021","7.761","1.86","2,3","Randy Flynn","https://boardgamegeek.com/boardgame/295947/cascadia"
